Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,2,65,-466,0,,,,,,,,,,,,powerClassic,DirectionalGhost,4,AlphaBetaAgent,40,173,756,0,11,0.525,0.062706778,-0.131110444
capsuleClassic,RandomGhost,4,ExpectimaxAgent,3,281,-612,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,4,127,-188,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,5,174,-505,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,6,75,-405,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,7,194,-125,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,8,58,-469,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,9,83,-294,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,10,37,-438,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,11,118,-519,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,12,439,-239,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,13,44,-455,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,14,183,-384,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,15,17,-438,0,,,,,,,,,,,,,,,,,,,,,,,
capsuleClassic,RandomGhost,4,ExpectimaxAgent,16,103,-433,0,,,,,,,,,,,,,,,,,,,,,,,
