Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,4,54,306,0,,,,,,,,,,,,minimaxClassic,RandomGhost,2,MonteCarloAgent -a enableRandomPolicy=0,20,3,516,1,7.5,0.35,-0.385320466,-0.562731434
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,5,55,854,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,6,114,1255,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,7,43,546,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,8,21,-302,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,9,276,1423,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,10,94,486,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,11,10,-401,0,,,,,,,,,,211.2,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,12,18,-339,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,13,374,1545,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,14,207,1412,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,15,290,1149,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,16,344,725,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,17,186,1523,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,18,210,1059,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,19,78,-169,0,,,,,,,,,,,,,,,,,,,,,,,
trickyClassic,DirectionalGhost,4,ExpectimaxAgent,20,59,90,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,1,8,511,1,,,158.45,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,2,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,3,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,4,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,5,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,6,1,-492,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,7,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,8,9,510,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,9,10,-500,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,10,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,11,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,12,8,-498,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,13,12,-503,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,14,22,497,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,15,14,505,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,16,7,-498,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,17,1,-492,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,18,8,511,1,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,19,9,-500,0,,,,,,,,,,,,,,,,,,,,,,,
minimaxClassic,RandomGhost,2,MinimaxAgent,20,3,516,1,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,1,824,385,0,,892.1,215.45,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,2,1579,100,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,3,406,63,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,4,1456,173,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,5,391,-422,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,6,746,793,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,7,1093,486,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,8,762,727,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,9,396,-207,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,10,361,-172,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,11,1000,-11,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,12,1933,486,0,,,,,,,,,,,,,,,,,,,,,,,
originalClassic,RandomGhost,5,MinimaxAgent,13,2461,-301,0,,,,,,,,,,,,,,,,,,,,,,,
