Layout,Ghost Type,Number of Ghosts,Agent,Game,Moves,Score,Outcome
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=0,2,49,530,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=1,2,17,562,1
testClassic,DirectionalGhost,3,MinimaxAgent,2,21,558,1
testClassic,DirectionalGhost,3,AlphaBetaAgent,2,25,554,1
testClassic,DirectionalGhost,3,ExpectimaxAgent,2,23,556,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=0,3,57,522,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=1,3,33,546,1
testClassic,DirectionalGhost,3,MinimaxAgent,3,29,550,1
testClassic,DirectionalGhost,3,AlphaBetaAgent,3,25,554,1
testClassic,DirectionalGhost,3,ExpectimaxAgent,3,35,544,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=0,4,33,546,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=1,4,43,536,1
testClassic,DirectionalGhost,3,MinimaxAgent,4,23,556,1
testClassic,DirectionalGhost,3,AlphaBetaAgent,4,21,558,1
testClassic,DirectionalGhost,3,ExpectimaxAgent,4,21,558,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=0,5,29,550,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=1,5,21,558,1
testClassic,DirectionalGhost,3,MinimaxAgent,5,21,558,1
testClassic,DirectionalGhost,3,AlphaBetaAgent,5,29,550,1
testClassic,DirectionalGhost,3,ExpectimaxAgent,5,23,556,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=0,6,45,534,1
testClassic,DirectionalGhost,3,MonteCarloAgent -a enableRandomPolicy=1,6,23,556,1
testClassic,DirectionalGhost,3,MinimaxAgent,6,27,552,1
testClassic,DirectionalGhost,3,AlphaBetaAgent,6,23,556,1
